edge_index,edge_rarity,src_out_degree,dst_in_degree
0,1.0,1,2
1,0.5,1,1
2,1.0,1,2
3,0.2,1,4
4,1.0,1,1
5,0.5,1,3
6,1.0,1,1
7,0.5,1,3
8,0.5,1,1
9,0.5,1,3
10,0.3333333333333333,1,5
11,1.0,1,1
12,1.0,1,1
13,1.0,1,2
14,0.5,1,1
15,1.0,1,2
16,1.0,1,2
17,0.5,1,1
18,1.0,1,2
19,1.0,1,1
20,1.0,1,1
21,1.0,1,1
22,1.0,1,1
23,0.5,1,3
24,1.0,1,1
25,1.0,1,5
26,1.0,1,1
27,1.0,1,1
28,1.0,1,1
29,1.0,1,1
30,1.0,1,1
31,1.0,1,5
32,1.0,1,1
33,1.0,1,3
34,0.5,1,1
35,1.0,1,4
36,0.5,1,1
37,1.0,1,3
38,1.0,1,1
39,0.5,1,1
40,1.0,1,5
41,0.5,1,2
42,1.0,1,1
43,1.0,5,1
44,0.16666666666666666,1,1
45,0.5,5,3
46,1.0,5,3
47,1.0,5,3
48,1.0,5,1
49,1.0,1,1
50,1.0,1,1
51,1.0,1,1
52,0.3333333333333333,1,1
53,0.3333333333333333,1,1
54,0.5,1,1
55,0.5,1,1
56,1.0,1,4
57,1.0,1,1
58,1.0,1,5
59,1.0,1,1
60,1.0,1,1
61,1.0,1,1
62,1.0,1,1
63,1.0,1,4
64,1.0,1,1
65,1.0,1,1
66,1.0,1,1
67,1.0,1,2
68,0.5,1,1
