src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time
C12247,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,
ANONYMOUS LOGON@C1065,ANONYMOUS LOGON@C1065,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0
C4429,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,
C528,C528,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0
ANONYMOUS LOGON@C528,ANONYMOUS LOGON@C528,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C529,C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C13455,C586,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,
ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0
C586,C586,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C2106,C2106,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C10045$@DOM1,C10045$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C1020$@DOM1,C1020$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C1025,C561,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C1025$@DOM1,C1025$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0
C561,C561,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
