src,dst,type,protocol,src_port,dst_port,pkt_count,byte_count,duration,time,weight,first_time
C10614,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0
C11227,C25856,flow,6.0,N1415,22.0,1.0,46.0,0.0,147285.0,1,147285.0
C11667,C743,flow,6.0,N3529,139.0,1.0,46.0,0.0,147285.0,1,147285.0
C1226,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0
C12267,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0
C12632,C467,flow,17.0,123.0,123.0,1.0,96.0,0.0,147285.0,1,147285.0
C12941,C5721,flow,6.0,N956,445.0,2.0,178.0,0.0,147285.0,1,147285.0
C13470,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0
C13490,C16712,flow,6.0,22.0,N39398,1.0,46.0,0.0,147285.0,1,147285.0
C14394,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0
